Time   4.2e-05
Coordinate	x1	x2
0	2.5065e-13	5.08848e-31
0.015	4.48954e-13	4.86363e-33
0.03	7.63805e-14	1.78136e-35
0.045	9.43396e-13	3.52379e-38
0.06	1.59053e-11	4.45646e-41
0.075	1.74425e-10	3.99198e-44
0.09	1.65114e-09	2.71454e-47
0.105	1.39303e-08	1.62398e-50
0.12	1.05242e-07	8.52237e-51
0.135	7.1338e-07	7.89264e-49
0.15	4.34557e-06	6.47634e-47
0.165	2.38229e-05	4.87759e-45
0.18	0.000117692	3.36771e-43
0.195	0.000524618	2.12877e-41
0.21	0.00211244	1.23015e-39
0.225	0.00769193	6.49122e-38
0.24	0.0253535	3.12677e-36
0.255	0.0757191	1.37647e-34
0.27	0.205081	5.55434e-33
0.285	0.504161	2.0637e-31
0.3	1.12587	7.09352e-30
0.315	2.28567	2.26246e-28
0.33	4.22155	6.69347e-27
0.345	7.09856	1.8299e-25
0.36	10.8744	4.59706e-24
0.375	15.1868	1.05586e-22
0.39	19.3478	2.21107e-21
0.405	22.4995	4.22252e-20
0.42	23.8977	7.37384e-19
0.435	23.1975	1.18202e-17
0.45	20.5913	1.7447e-16
0.465	16.7237	2.37371e-15
0.48	12.4348	2.97262e-14
0.495	8.46924	3.41637e-13
0.51	5.28682	3.59183e-12
0.525	3.02644	3.44647e-11
0.54	1.58963	3.01496e-10
0.555	0.766529	2.40472e-09
0.57	0.339525	1.74999e-08
0.585	0.138219	1.16303e-07
0.6	0.0517437	7.0644e-07
0.615	0.0178233	3.92392e-06
0.63	0.00565206	1.99369e-05
0.645	0.00165105	9.26701e-05
0.66	0.000444523	0.000394072
0.675	0.000110368	0.00153302
0.69	2.52816e-05	0.00545552
0.705	5.34477e-06	0.0177586
0.72	1.04295e-06	0.0528732
0.735	1.87822e-07	0.143976
0.75	3.12036e-08	0.358545
0.765	4.78043e-09	0.816518
0.78	6.75339e-10	1.70032
0.795	8.80545e-11	3.23751
0.81	1.06198e-11	5.63611
0.825	1.18905e-12	8.97035
0.84	1.2415e-13	13.0519
0.855	1.21377e-14	17.36
0.87	1.11362e-15	21.106
0.885	9.58204e-17	23.4542
0.9	7.7056e-18	23.8213
0.915	5.76216e-19	22.1114
0.93	3.98645e-20	18.7563
0.945	2.54195e-21	14.5388
0.96	1.4915e-22	10.2977
0.975	8.06022e-24	6.66422
0.99	4.02597e-25	3.94034
1.005	1.86979e-26	2.12845
1.02	8.1391e-28	1.0503
1.035	3.35088e-29	0.473427
1.05	1.31635e-30	0.19492
1.065	4.96887e-32	0.0732979
1.08	1.8095e-33	0.0251727
1.095	6.36192e-35	0.00789483
1.11	2.15549e-36	0.00226098
1.125	7.01465e-38	0.000591237
1.14	2.19891e-39	0.000141157
1.155	4.78845e-41	3.0767e-05
1.17	1.43282e-40	6.12177e-06
1.185	7.3536e-39	1.11183e-06
1.2	4.57562e-37	1.84304e-07
1.215	2.71396e-35	2.78822e-08
1.23	1.53563e-33	3.84923e-09
1.245	8.24654e-32	4.84878e-10
1.26	4.17852e-30	5.57264e-11
1.275	1.98409e-28	5.8427e-12
1.29	8.75713e-27	5.58782e-13
1.305	3.5581e-25	4.87417e-14
1.32	1.31538e-23	3.87735e-15
1.335	4.36167e-22	2.8125e-16
1.35	1.27446e-20	1.86002e-17
1.365	3.20896e-19	1.12137e-18
1.38	6.76462e-18	6.16214e-20
1.395	1.14908e-16	3.086e-21
1.41	1.49193e-15	1.40824e-22
1.425	1.37025e-14	5.85469e-24
1.44	7.85319e-14	2.21718e-25
1.455	2.19879e-13	7.64689e-27
1.47	1.41367e-13	2.39664e-28
1.485	6.75532e-14	5.90437e-30
